Country,Region,Percent Debt,Total Debt ($PPP),GDP ($PPP)
Botswana,Southern Africa,15.5,5559850000,35870000000
Chile,Western South America,15.1,62045900000,410900000000
China,Eastern Asia,14.9,2695410000000,18090000000000
Russia,Eastern Europe,13.4,479318000000,3577000000000
Equatorial Guinea,Central Africa,13,3720600000,28620000000
Nigeria,West Africa,10.8,113724000000,1053000000000
Iran,South-Central Asia,10.7,145199000000,1357000000000
Estonia,Northern Europe,10.6,3898680000,36780000000
Kosovo,Southern Europe,10.6,1793520000,16920000000
Azerbaijan,Western Asia,8.9,14765100000,165900000000
Kiribati,Oceania,8.6,16254000,189000000
Gibraltar,Southern Europe,7.5,138750000,1850000000
Algeria,Northern Africa,7.2,39499200000,548600000000
Uzbekistan,Central Asia,7.1,12233300000,172300000000
Tajikistan,Central Asia,6.5,1456000000,22400000000
Libya,Northern Africa,6.5,6366100000,97940000000
Kuwait,Middle East,6.5,18369000000,282600000000
Wallis and Futuna,Oceania,5.6,3360000,60000000
Oman,Middle East,4.9,7987000000,163000000000
Saudi Arabia,Middle East,1.6,25760000000,1610000000000
Liberia,West Africa,0.5,18555000,3711000000
